"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username"
"yjadot","1416764062873047044","2021-07-18 14:17:29+00:00","reply","@sebbarles @2022lecologie Merci !",True,True,"1416757962677358593","L'écologie face au chaos climatique doit gagner en 2022.
Lors de la primaire écologiste, je soutiens  @yjadot en situation par son parcours, son expérience et son projet pour relever le défi.
👉Comme moi, soutenez la candidature @2022lecologie #Jadot2022
➡️https://t.co/kbLPRe8X6j https://t.co/qkGvoHjKA5","2021-07-18 13:53:15+00:00","492313840","Sébastien Barles","sebbarles"
"yjadot","1416660812631101441","2021-07-18 07:27:12+00:00","retweet","RT @GuyaneNatureEnv: ⚠️Montagne d'or: la Cour d'appel confirme la prolongation des concessions!⛏️
Malgré les promesses du président Macron,…",True,True,"1415986849089269762","⚠️Montagne d'or: la Cour d'appel confirme la prolongation des concessions!⛏️
Malgré les promesses du président Macron, la justice applique normalement le code minier, qui ne prenait pas en compte l'environnement jusqu'à la loi climat.
On ne va pas en rester là avec @FNEasso !","2021-07-16 10:49:07+00:00","1093542013109264386","Guyane Nature Environnement","GuyaneNatureEnv"
"yjadot","1416321818881888256","2021-07-17 09:00:10+00:00","retweet","RT @Gemenne: Pour @brutofficiel, j’ai essayé de rappeler l’impératif de l’adaptation aux événements climatiques extrêmes dans les pays indu…",True,True,"1416297008411910146","Pour @brutofficiel, j’ai essayé de rappeler l’impératif de l’adaptation aux événements climatiques extrêmes dans les pays industrialisés, parce qu’ils vont devenir plus violents et plus fréquents sous l’effet du changement climatique. C’est irréversible. #Hochwasserkatastrophe https://t.co/sSI4HJqZFL","2021-07-17 07:21:34+00:00","30245029","François Gemenne","Gemenne"
"yjadot","1416077333220536322","2021-07-16 16:48:40+00:00","normal","Scandaleuse agression homophobe. La haine anti-#LGBTQIA doit être systématiquement sanctionnée! Plein soutien et prompt rétablissement à Mickaël et Benoît.
 En Corse, un couple gay victime d'une violente agression homophobe - TÊTU https://t.co/cPbrZbqZGC",False,False,"","","","","",""
"yjadot","1415748370459734028","2021-07-15 19:01:29+00:00","quoting","Pendant que certains attisent les haines le seul combat que nous devrions mener est celui contre le dérèglement climatique qui nous menace tous.
Il est temps d’agir ! Soutien aux Belges et aux Allemands ! https://t.co/dnqg8CxtgK",True,True,"1415608325740367872","Une grande partie du sud et de l'est de la Belgique s'est réveillée sous l'eau, notamment dans l'agglomération de Liège. Au moins deux personnes ont été retrouvées mortes, victimes des crues liées aux pluies diluviennes
#AFP https://t.co/JszbruGTax","2021-07-15 09:45:00+00:00","338985020","Agence France-Presse","afpfr"
"yjadot","1415688685216059394","2021-07-15 15:04:19+00:00","normal","Les catastrophes se succèdent, toujours dramatiques. Mais chaque jour est un combat pour sortir les Etats du déni de l’urgence climatique et adapter nos territoires ! Agir est Vital ! Solidarité avec #Allemagne. Soutien aux secours ! https://t.co/mFFUKpMoQu",False,False,"","","","","",""
"yjadot","1415667220680695808","2021-07-15 13:39:01+00:00","retweet","RT @Gemenne: Cela fait environ 15 ans que j'étudie les personnes déplacées par des catastrophes environnementales, pourtant je n'aurais jam…",True,True,"1415656760912797696","Cela fait environ 15 ans que j'étudie les personnes déplacées par des catastrophes environnementales, pourtant je n'aurais jamais cru que ma ville natale puisse un jour devenir un cas d'études pour de futures recherches. Courage à tous et toutes. #Liège https://t.co/r7F9ffO0yn","2021-07-15 12:57:28+00:00","30245029","François Gemenne","Gemenne"
"yjadot","1415391617519849474","2021-07-14 19:23:52+00:00","quoting","De tout cœur avec les #ferropem qui défendent la souveraineté industrielle européenne et française #silicium https://t.co/AcrkF4YODN",True,True,"1415237824559960065","Les salariés de Ferropem prennent symboliquement le château de Vizille pour dénoncer la fermeture de leur usine à Livet-et-Gavet. #14Juillet #isere https://t.co/xyoONyT1JK","2021-07-14 09:12:45+00:00","94531079","France Bleu Isère","francebleuisere"
"yjadot","1415365263202177033","2021-07-14 17:39:09+00:00","normal","#climat Ajustement carbone aux frontières : la @EU_Commission répond aux lobbies plutôt qu’au défi climatique 
https://t.co/WC8YXZ1s4f",False,False,"","","","","",""
"yjadot","1415005821025521665","2021-07-13 17:50:51+00:00","retweet","RT @ALarivot: Cette catastrophe écocide est un exemple parfait de notre lutte commune pour le bien de tou.te.s

A ansanm nou ké rivé ! 🇬🇫🇫🇷…",True,True,"1414952534167461891","Cette catastrophe écocide est un exemple parfait de notre lutte commune pour le bien de tou.te.s

A ansanm nou ké rivé ! 🇬🇫🇫🇷🇪🇺🇺🇳 https://t.co/4JWMLTlwEm","2021-07-13 14:19:07+00:00","1275791517651734530","Collectif Alter Larivot","ALarivot"
